date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:40:43	99/99	---M--	200	added ('OK')	text/plain	etag:%2263598f5a-63%22	https://www.myfitnesspal.com/robots.txt		(from )
18:40:45	411731/411731	---MCZ	200	added ('OK')	text/html	etag:%22qcqrlwt8dj8swm%22	https://www.myfitnesspal.com/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web26/Site26/www.myfitnesspal.com/index.html	(from )
18:40:45	3/3	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2027%20Oct%202022%2013:11:35%20GMT	https://www.myfitnesspal.com/es/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web26/Site26/www.myfitnesspal.com/es/index.html	(from https://www.myfitnesspal.com/)
18:40:46	3/3	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2027%20Oct%202022%2013:11:35%20GMT	https://www.myfitnesspal.com/fr/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web26/Site26/www.myfitnesspal.com/fr/index.html	(from https://www.myfitnesspal.com/)
18:40:46	3405/3405	---M--	200	added ('OK')	image/png	etag:W/%22d4d-18415930720%22	https://www.myfitnesspal.com/favicon.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web26/Site26/www.myfitnesspal.com/favicon.png	(from https://www.myfitnesspal.com/)
18:40:46	3/3	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2027%20Oct%202022%2013:11:36%20GMT	https://www.myfitnesspal.com/de/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web26/Site26/www.myfitnesspal.com/de/index.html	(from https://www.myfitnesspal.com/)
18:40:46	3/3	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2027%20Oct%202022%2013:11:36%20GMT	https://www.myfitnesspal.com/da/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web26/Site26/www.myfitnesspal.com/da/index.html	(from https://www.myfitnesspal.com/)
18:40:46	6129/6129	---MCZ	200	added ('OK')	text/css	etag:W/%22219abf7c4c7c5d273eb03a175e66d09a%22	https://web-assets.myfitnesspal.com/fonts/inter.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web26/Site26/web-assets.myfitnesspal.com/fonts/inter.css	(from https://www.myfitnesspal.com/)
18:40:46	3/3	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2027%20Oct%202022%2013:11:36%20GMT	https://www.myfitnesspal.com/it/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web26/Site26/www.myfitnesspal.com/it/index.html	(from https://www.myfitnesspal.com/)
18:40:48	3/3	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2027%20Oct%202022%2013:11:37%20GMT	https://www.myfitnesspal.com/ja/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web26/Site26/www.myfitnesspal.com/ja/index.html	(from https://www.myfitnesspal.com/)
18:40:48	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%22837c0df77fd5009c9e46d446188ecfd0%22	https://web-main-assets.myfitnesspal.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web26/Site26/web-main-assets.myfitnesspal.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://www.myfitnesspal.com/)
18:40:48	3/3	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2027%20Oct%202022%2013:11:37%20GMT	https://www.myfitnesspal.com/ko/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web26/Site26/www.myfitnesspal.com/ko/index.html	(from https://www.myfitnesspal.com/)
